"Source_ID","Category","Document_Title","Organization_or_Vendor","Document_Number","Revision","Publication_Date","Access_Date","Applicable_Section","Applicable_Table_or_Figure","Supported_Requirement_ID","Supported_Claim","Public_Controlled_or_Restricted","Official_URL_or_Local_Reference","Local_File_Path","File_Hash","Review_Status","Reviewer","Review_Date","Notes"
"SR-001","PCIe CEM","PCI Express Card Electromechanical Specification","PCI-SIG","CEM","3.0","2013-07-21","2026-07-23","connector pin; power; PRSNT; mechanical","controlled tables/pages not available","SYS-001;SYS-003;IF-001;IF-003;PWR-002","Governing J1 pin, slot-power, inrush and mechanical source","Controlled (public metadata only)","https://pcisig.com/PCIExpress/Specs/CEM/CardElectromechanical_3.0","NOT_INCLUDED_IN_PUBLIC_PACKAGE","NOT_AVAILABLE","Pending_Human_Verification","Codex_metadata_audit","2026-07-28","Evidence_Disposition=BLOCKED; Full controlled copy not available; do not publish or infer pin table."
"SR-002","PCIe CEM","PCI Express CEM specification overview","PCI-SIG","未找到","dynamic portal","未找到","2026-07-23","specification governance and revision portal","whole page","SYS-001;DOC-001","Confirms CEM governance and official entry point only","Public","https://pcisig.com/specification-overview/pci-express-cem","NOT_ARCHIVED","NOT_ARCHIVED","Engineering_Assumption","Codex_metadata_audit","2026-07-28","Evidence_Disposition=PRELIMINARY; Landing page cannot close physical-pin or impedance requirements."
"SR-003","M.2 specification","PCI Express M.2 Specification","PCI-SIG","M.2","5.1","2024-05-20","2026-07-23","J2 pin; key; power; sideband; reserved/NC","controlled tables/pages not available","SYS-002;IF-001;IF-003;PWR-005","Candidate governing J2 logical/physical definition","Controlled (public metadata only)","https://pcisig.com/PCIExpress/Spec/M.2/_5.1","NOT_INCLUDED_IN_PUBLIC_PACKAGE","NOT_AVAILABLE","Pending_Human_Verification","Codex_metadata_audit","2026-07-28","Evidence_Disposition=BLOCKED; Public landing page is metadata only; no third-party pinout may replace it."
"SR-004","NVMe-related public information","NVM Express Base Specification portal","NVM Express","未找到","ratified revision portal","未找到","2026-07-23","revision/download index","whole page","SYS-001;VAL-002","NVMe protocol background and validation vocabulary","Public","https://nvmexpress.org/specification/nvm-express-base-specification/","NOT_ARCHIVED","NOT_ARCHIVED","Engineering_Assumption","Codex_metadata_audit","2026-07-28","Evidence_Disposition=PRELIMINARY; Protocol background only; adapter is a passive interposer, not a protocol converter."
"SR-005","NVMe-related public information","NVMe Power Governance webinar","NVM Express","未找到","webinar deck","未找到","2026-07-23","power-state and power-governance slides","power envelope slides","PWR-003;PWR-004;PWR-005","Background for 5 A normal and 7 A/100 us stimulus","Public","https://nvmexpress.org/wp-content/uploads/NVMe_Power_Governance_Webinar_FINAL.pdf","NOT_ARCHIVED","NOT_ARCHIVED","Engineering_Assumption","Codex_metadata_audit","2026-07-28","Evidence_Disposition=PRELIMINARY; Cannot replace target SSD datasheet or prove supported-SSD claim."
"SR-006","NVMe-related public information","Jetson AGX Orin Developer Kit Carrier Board Specification","NVIDIA","SP-10900-001","1.2","2024-12","2026-07-23","PCIe and M.2 interface tables","Table 2-8 pp.14-15; Table 2-13 pp.19-20","IF-001;IF-003","Second-source public cross-check for candidate mapping","Public","https://developer.nvidia.com/assets/embedded/secure/jetson/agx_orin/jetson_agx_orin_devkit_carrier_board_specification_sp","evidence/official_sources/NVIDIA_Jetson_AGX_Orin_Carrier_Board_Spec_SP-10900-001_v1.2.pdf","D817A69767B9E11EFAA9B54037B87039A16BFF3E5A7C41255CE3B75E47322CAC (recorded; file absent in public package)","Engineering_Assumption","Codex_metadata_audit","2026-07-28","Evidence_Disposition=PRELIMINARY; Secondary source only; does not replace CEM/M.2 governing specifications."
"SR-007","NVMe-related public information","The Linux PTP Hardware Clock Subsystem for 5G O-RAN White Box Hardware","Renesas","R70WP0004EU0102","1.02","2021-09-02","2026-07-23","CEM revision comparison","Table 1 p.9","IF-003","Cross-check that B12 differs between CEM 3.0 and 4.0","Public","https://www.renesas.com/en/document/whp/linux-phc-infrastructure-5g","evidence/official_sources/Renesas_R70WP0004EU0102_Rev1.02.pdf","60C5879700910845A69823332FB1A8B2329458055B48C8D6274F0E51A1D69A99 (recorded; file absent in public package)","Engineering_Assumption","Codex_metadata_audit","2026-07-28","Evidence_Disposition=PRELIMINARY; Creates a revision-conflict gate; cannot close B12 mapping."
"SR-008","TPS25947 datasheet/model","TPS25947 eFuse datasheet","Texas Instruments","SLVSFC9C","Rev C","2026-05","2026-07-23","device comparison; pin functions; SOA; ILIM; dVdt","Table 5-1; Sections 6-8","PWR-002;PCB-004","U1 pin map, active-current-limit behavior, SOA and setting equations","Public","https://www.ti.com/lit/ds/symlink/tps25947.pdf","NOT_ARCHIVED","NOT_ARCHIVED","Confirmed_Official","Codex_metadata_audit","2026-07-28","Evidence_Disposition=VERIFIED; Source metadata verified; Rev A settings and bench fault behavior remain open."
"SR-009","TPS25947 datasheet/model","TPS259472LRPWR orderable page","Texas Instruments","TPS259472LRPWR","dynamic product record","未找到","2026-07-23","ordering/package/status","part-details fields","PWR-002","Exact eFuse orderable identity and RPW package","Public","https://www.ti.com/product/TPS25947/part-details/TPS259472LRPWR","NOT_ARCHIVED","NOT_ARCHIVED","Engineering_Assumption","Codex_metadata_audit","2026-07-28","Evidence_Disposition=PRELIMINARY; Product page is not a revision-controlled datasheet."
"SR-010","TPS25947 datasheet/model","TPS25947x PSpice Transient Model","Texas Instruments","SLVMDJ6A","web Rev A; internal Final 1.00","2021-02-09","2026-07-23","family transient model and variant parameters","model library/limitations","PWR-002;SIM-001","eFuse model provenance","Public download; vendor license applies","https://www.ti.com/lit/mo/slvmdj6a/slvmdj6a.zip","NOT_INCLUDED_IN_PUBLIC_PACKAGE","ZIP=9BFD3F61435AF48179C56BF8C4D9911471154511DB272241A9B4C2A9C9C28A2B; LIB=54586D04715478C3094DC1BE645A36D44F014A321B9E655A95034F34CE7C4D69","Confirmed_Official","Codex_metadata_audit","2026-07-28","Evidence_Disposition=VERIFIED; Model source/hash recorded; project functional validation is failed, not passed."
