Window,Start_us,End_us,Signal,Minimum,Maximum,Average,PeakToPeak,Sample_Count,CSDF_SHA256
RECOVERY_1305_1310,1305,1310,V(P3V3_PRE),3.336,3.375,3.34971233,0.039,730,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1305_1310,1305,1310,V(P3V3_NVME),3.302,3.35,3.3195,0.048,730,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1305_1310,1305,1310,V(PGOOD),4.5,4.5,4.5,0,730,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1305_1310,1305,1310,V(FB),0.5048,0.5129,0.508212192,0.0081,730,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1305_1310,1305,1310,V(SW),-0.7571,11.85,3.89473888,12.6071,730,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1305_1310,1305,1310,I(L1),5.821,7.492,6.65998219,1.671,730,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1305_1310,1305,1310,I(RSHUNT),5,7,6.04125205,2,730,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1305_1310,1305,1310,I(VINPUT),-7.492,-6.239e-06,-2.47379923,7.49199376,730,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1310_1320,1310,1320,V(P3V3_PRE),3.339,3.4,3.37933051,0.061,1419,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1310_1320,1310,1320,V(P3V3_NVME),3.314,3.375,3.35433051,0.061,1419,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1310_1320,1310,1320,V(PGOOD),4.499,4.5,4.49988584,0.001,1419,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1310_1320,1310,1320,V(FB),0.5044,0.5164,0.512064059,0.012,1419,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1310_1320,1310,1320,V(SW),-0.7548,11.92,3.95309674,12.6748,1419,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1310_1320,1310,1320,I(L1),3.257,6.749,4.79311769,3.492,1419,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1310_1320,1310,1320,I(RSHUNT),5,5,5,0,1419,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1310_1320,1310,1320,I(VINPUT),-6.749,-6.238e-06,-1.83936678,6.74899376,1419,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1320_1330,1320,1330,V(P3V3_PRE),3.156,3.341,3.28759907,0.185,1297,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1320_1330,1320,1330,V(P3V3_NVME),3.131,3.316,3.26259907,0.185,1297,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1320_1330,1320,1330,V(PGOOD),4.5,4.5,4.5,0,1297,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1320_1330,1320,1330,V(FB),0.4763,0.5065,0.49725081,0.0302,1297,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1320_1330,1320,1330,V(SW),-0.7506,12,3.43757117,12.7506,1297,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
