Window,Start_us,End_us,Signal,Minimum,Maximum,Average,PeakToPeak,Sample_Count,CSDF_SHA256
STARTUP_0P5A,1060,1090,V(P3V3_PRE),3.249,3.287,3.26626253,0.038,4369,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
STARTUP_0P5A,1060,1090,V(P3V3_NVME),3.247,3.285,3.26375189,0.038,4369,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
STARTUP_0P5A,1060,1090,V(PGOOD),0.5,0.5,0.5,0,4369,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
STARTUP_0P5A,1060,1090,V(FB),0.4917,0.4995,0.495237079,0.0078,4369,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
STARTUP_0P5A,1060,1090,V(SW),-0.7226,12.67,4.27565305,13.3926,4369,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
STARTUP_0P5A,1060,1090,I(L1),-0.3846,1.457,0.665412808,1.8416,4369,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
STARTUP_0P5A,1060,1090,I(RSHUNT),0.5,0.5,0.5,0,4369,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
STARTUP_0P5A,1060,1090,I(VINPUT),-5.893,0.3777,-0.328410112,6.2707,4369,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
STEADY_5A,1150,1190,V(P3V3_PRE),3.174,3.389,3.29704575,0.215,5552,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
STEADY_5A,1150,1190,V(P3V3_NVME),3.149,3.364,3.27204575,0.215,5552,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
STEADY_5A,1150,1190,V(PGOOD),0.5,0.5,0.5,0,5552,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
STEADY_5A,1150,1190,V(FB),0.4796,0.514,0.49965236,0.0344,5552,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
STEADY_5A,1150,1190,V(SW),-0.7588,12,3.83092309,12.7588,5552,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
STEADY_5A,1150,1190,I(L1),-0.001404,8.131,4.87488788,8.132404,5552,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
STEADY_5A,1150,1190,I(RSHUNT),5,5,5,0,5552,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
STEADY_5A,1150,1190,I(VINPUT),-8.131,-6.027e-06,-1.82219584,8.13099397,5552,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
PEAK_7A,1210,1300,V(P3V3_PRE),3.239,3.365,3.29756572,0.126,13535,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
PEAK_7A,1210,1300,V(P3V3_NVME),3.204,3.33,3.26256572,0.126,13535,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
PEAK_7A,1210,1300,V(PGOOD),0.5,4.5,3.28040495,4,13535,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
PEAK_7A,1210,1300,V(FB),0.4897,0.5111,0.49984263,0.0214,13535,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
PEAK_7A,1210,1300,V(SW),-0.7601,11.86,3.31945575,12.6201,13535,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
PEAK_7A,1210,1300,I(L1),5.413,8.656,7.12768652,3.243,13535,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
PEAK_7A,1210,1300,I(RSHUNT),7,7,7,0,13535,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
PEAK_7A,1210,1300,I(VINPUT),-8.656,-6.238e-06,-2.30312111,8.65599376,13535,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_5A,1320,1350,V(P3V3_PRE),3.134,3.4,3.29237998,0.266,4195,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_5A,1320,1350,V(P3V3_NVME),3.109,3.375,3.26737998,0.266,4195,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_5A,1320,1350,V(PGOOD),4.499,4.5,4.49981359,0.001,4195,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_5A,1320,1350,V(FB),0.4734,0.5165,0.499141931,0.0431,4195,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_5A,1320,1350,V(SW),-0.7597,12,3.61396048,12.7597,4195,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_5A,1320,1350,I(L1),-0.006434,8.472,5.23097725,8.478434,4195,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_5A,1320,1350,I(RSHUNT),5,5,5,0,4195,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_5A,1320,1350,I(VINPUT),-8.471,-6.017e-06,-1.8324377,8.47099398,4195,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RELEASE_0P5A,1380,1400,V(P3V3_PRE),3.308,3.34,3.31979883,0.032,2739,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RELEASE_0P5A,1380,1400,V(P3V3_NVME),3.306,3.338,3.31728368,0.032,2739,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RELEASE_0P5A,1380,1400,V(PGOOD),4.494,4.5,4.49911428,0.006,2739,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RELEASE_0P5A,1380,1400,V(FB),0.5004,0.5072,0.503204089,0.0068,2739,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RELEASE_0P5A,1380,1400,V(SW),-0.7218,12.7,4.44380153,13.4218,2739,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RELEASE_0P5A,1380,1400,I(L1),-0.5394,1.405,0.485792558,1.9444,2739,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RELEASE_0P5A,1380,1400,I(RSHUNT),0.5,0.5,0.5,0,2739,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RELEASE_0P5A,1380,1400,I(VINPUT),-5.892,0.5323,-0.281811168,6.4243,2739,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
