Category,Path,Size_Bytes,SHA256,Source_Board_SHA256,Tool_Version,Export_Options,Artifact_State
Report_or_Log,evidence/stage2/pspice/pw01_vendor_combined_run/run_record.md,1474,CC6C012071638E6F6D6C249E778A8AE9941F04EE9C1334D83E707E557511D164,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X/Python 3.13,Audit or export evidence,Recorded
STEP_Roundtrip,evidence/stage3/3d/roundtrip_revk/pcie_gen3_x4_nvme_adapter_reva_revk_final_step_reimport.dra,1890600,BE181E5EC295613092AB8CE0671D12C9F4A1619709BC394BC8784C6D0FCCEBA2,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X PCB Editor 25.1 S040,Isolated DRA assignment/readback,Native_DRA_STEP_Assignment_OK
STEP_Roundtrip,evidence/stage3/3d/roundtrip_revk/stage3_final_step_reimport_native_log.txt,634,88A603D7039443276502A366516DF912265B2F4FC7EB4A69BBACF8EC5B8A911D,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X PCB Editor 25.1 S040,Isolated DRA assignment/readback,Native_DRA_STEP_Assignment_OK
Native_3DX_Evidence,evidence/stage3/3dx_native_revk/revk_bottom_with_ui.png,122498,26D8FC4F34C06B6D09E7B71F1B33794D5871FF5EE43F34D0B9E02F7EA02381D4,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X 3DX Canvas 25.1 S040,Tool UI capture,Confirmed_Current_Board
Native_3DX_Evidence,evidence/stage3/3dx_native_revk/revk_bracket_left_with_ui.png,121984,149F3C418E28F45778C13BF3550CFEA3A547F85FEADE5B81700228BBFDC3F842,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X 3DX Canvas 25.1 S040,Tool UI capture,Confirmed_Current_Board
Native_3DX_Evidence,evidence/stage3/3dx_native_revk/revk_isometric_with_ui.png,131697,D2B4629F817267F63A9A8D0575320289A35027C7E074A8B4052034C9EB4910B3,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X 3DX Canvas 25.1 S040,Tool UI capture,Confirmed_Current_Board
Native_3DX_Evidence,evidence/stage3/3dx_native_revk/revk_power_zone_l4_with_ui.png,129568,0F730C17521725D905D32A46A5EB072E2597351BEBB4C3A29A964C67DE873C5C,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X 3DX Canvas 25.1 S040,Tool UI capture,Confirmed_Current_Board
Native_3DX_Evidence,evidence/stage3/3dx_native_revk/revk_side_front_with_ui.png,125843,305A4F39D14D906B0B7E1F0E1064155FD0AE409EA66C928C240BBAD6946B9749,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X 3DX Canvas 25.1 S040,Tool UI capture,Confirmed_Current_Board
Native_3DX_Evidence,evidence/stage3/3dx_native_revk/revk_ssd_underside_bottom_iso_with_ui.png,126632,6BDC2BF5FBB0B567476DF8761AD6E43040379ED6EE74B2F40E01774E89A050BA,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X 3DX Canvas 25.1 S040,Tool UI capture,Confirmed_Current_Board
Native_3DX_Evidence,evidence/stage3/3dx_native_revk/revk_status_drc0_zero_islands_with_ui.png,131556,3D26B8920D26C65AF65C46B65448F78DB5A042C1350F1E276B028C824C025735,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X 3DX Canvas 25.1 S040,Tool UI capture,Confirmed_Current_Board
Native_3DX_Evidence,evidence/stage3/3dx_native_revk/revk_step_export_command_log_with_ui.png,217322,4A1225E5BEBD170133D780358681F89D027A43D25FEC15664587BDA3A5F9F90F,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X 3DX Canvas 25.1 S040,Tool UI capture,Confirmed_Current_Board
Native_3DX_Evidence,evidence/stage3/3dx_native_revk/revk_step_export_completed_with_ui.png,116455,119AB5B7498488AA2786EDF15457B96B82FC46A9757E0CFDECAA715A99D4699A,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X 3DX Canvas 25.1 S040,Tool UI capture,Confirmed_Current_Board
Native_3DX_Evidence,evidence/stage3/3dx_native_revk/revk_step_export_content_options_with_ui.png,116912,762F9DE2C1209DE56BD36CA9BC7F35BE2D011D2FEEBB3D632BEAD8037D8A8E3F,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X 3DX Canvas 25.1 S040,Tool UI capture,Confirmed_Current_Board
Native_3DX_Evidence,evidence/stage3/3dx_native_revk/revk_step_export_mm_ap242_top_upper_with_ui.png,117056,FE27AE6ED393D4484D3FE3E91946B8A8A4064C3C594ACBAA1ABA788ECB08E899,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X 3DX Canvas 25.1 S040,Tool UI capture,Confirmed_Current_Board
Native_3DX_Evidence,evidence/stage3/3dx_native_revk/revk_top_isometric_detailed_with_ui.png,131810,DFCD8056529AD7CAE1CE92A88EE226CFB4D79E0EE0D8F5CEC34357B33A2FD353,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X 3DX Canvas 25.1 S040,Tool UI capture,Confirmed_Current_Board
Native_3DX_Evidence,evidence/stage3/3dx_native_revk/revk_top_with_ui.png,131917,0CC553E011E729FC2875EE34CB48AD27DD325599284A785D20758714A2C6B333,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X 3DX Canvas 25.1 S040,Tool UI capture,Confirmed_Current_Board
Report_or_Log,evidence/stage3/constraint_manager_status.md,1044,F0FCD97AE739EA7C094CF5AC7CA80AE2DAC3974F3FF641AAF797DD7344262B2B,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X/Python 3.13,Audit or export evidence,Recorded
Report_or_Log,evidence/stage3/csv_warning_review.md,955,18BA4F146C3181774FB90B1A045EDE62020FB022B750544744948F13314977BC,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X/Python 3.13,Audit or export evidence,Recorded
Portfolio_View,evidence/stage3/portfolio_revk/stage3_bottom.png,836241,DD6D59DA8A34AD48E45E6F6496B7E7B3287F57D43F7E80EC34FC09076EDB2217,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Portfolio renderer,Black background; presentation carry-forward; external placement/models unchanged from RevI to RevK,Engineering_Assumption_Presentation_Only
Portfolio_View,evidence/stage3/portfolio_revk/stage3_bracket_review.png,1134920,16A2DDD3E16E71FD604FCEED8EFF5096DB7E966670C49F217F7D0842DB3E07B3,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Portfolio renderer,Black background; presentation carry-forward; external placement/models unchanged from RevI to RevK,Engineering_Assumption_Presentation_Only
Portfolio_View,evidence/stage3/portfolio_revk/stage3_hero_isometric_assembly.png,1068237,73D44483E89F8D3EC3DA486396125F33D81B8D2DE874CDA6AD81C6046A876B7F,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Portfolio renderer,Black background; presentation carry-forward; external placement/models unchanged from RevI to RevK,Engineering_Assumption_Presentation_Only
Portfolio_View,evidence/stage3/portfolio_revk/stage3_hero_isometric_pcb_detail.png,1047092,947E26D7545FA849B96110F3A6471BDFEC9349EE625C9F92349D176845722634,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Portfolio renderer,Black background; presentation carry-forward; external placement/models unchanged from RevI to RevK,Engineering_Assumption_Presentation_Only
Portfolio_View,evidence/stage3/portfolio_revk/stage3_side.png,1122736,AE649C2F9733FD281057A89A927F54B935771A81DF8F4056B75CFA0A47AC3A8A,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Portfolio renderer,Black background; presentation carry-forward; external placement/models unchanged from RevI to RevK,Engineering_Assumption_Presentation_Only
Portfolio_View,evidence/stage3/portfolio_revk/stage3_ssd_underside.png,1078659,9E7C0D50FCB859392D2BB6C93EDD4055487A906B86B05FCC9AA93C5AC043FF25,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Portfolio renderer,Black background; presentation carry-forward; external placement/models unchanged from RevI to RevK,Engineering_Assumption_Presentation_Only
