RefDes,Package,X_mm,Y_mm,Rotation_deg,Side
J1,PCIE_CEM_X4_EDGE_REVA,21.0000,2.5000,0.0,TOP
J2,AMPHENOL_MDT420M01501,36.0000,36.0000,90.0,TOP
C1,C_0402_1005M,48.0000,52.0000,0.0,TOP
C2,C_0603_1608M_RESERVED,47.0000,60.0000,0.0,TOP
C3,C_0603_1608M_RESERVED,50.0000,60.0000,0.0,TOP
D2,DO214AA_SMB,44.5000,56.0000,0.0,TOP
R1,R_0603_1608M,47.0000,62.0000,0.0,TOP
R2,R_0603_1608M,49.5000,62.0000,0.0,TOP
R3,R_0603_1608M,52.0000,62.0000,0.0,TOP
R4,R_0603_1608M,54.5000,62.0000,0.0,TOP
R5,R_0603_1608M,57.0000,62.0000,0.0,TOP
R6,R_0603_1608M,59.5000,62.0000,0.0,TOP
U1,TI_RPW10_2P0X2P0,50.0000,56.0000,0.0,TOP
C4,C_1210_3225M,54.0000,52.0000,0.0,TOP
C5,C_1210_3225M,58.6000,52.0000,0.0,TOP
C6,C_0402_1005M,62.0000,51.0000,0.0,TOP
C7,C_0402_1005M,64.0000,53.0000,0.0,TOP
C8,C_0603_1608M,66.0000,52.0000,0.0,TOP
C9,C_0402_1005M,72.0000,52.0000,0.0,TOP
C10,C_0402_1005M,80.0000,62.0000,0.0,TOP
C11,C_1210_3225M,82.0000,51.0000,90.0,TOP
C12,C_1210_3225M,86.0000,51.0000,90.0,TOP
C13,C_1210_3225M,82.0000,58.5000,90.0,TOP
C14,C_1210_3225M,86.0000,59.5000,90.0,TOP
L1,COILCRAFT_XGL5050,76.0000,56.0000,0.0,TOP
R7,R_0603_1608M,62.0000,62.0000,0.0,TOP
R8,R_0603_1608M,65.0000,62.0000,0.0,TOP
R9,R_0603_1608M,67.5000,62.0000,0.0,TOP
R10,R_0603_1608M,70.0000,62.0000,0.0,TOP
R11,R_0603_1608M,72.5000,62.0000,0.0,TOP
R12,R_0603_1608M,75.0000,62.0000,0.0,TOP
R13,R_0603_1608M,77.5000,62.0000,0.0,TOP
R14,R_0603_1608M,98.0000,21.0000,0.0,TOP
RSH1,VISHAY_WSK2512_4T,92.0000,56.0000,0.0,TOP
U2,TI_RPY14_2P5X3P0,69.0000,56.0000,0.0,TOP
C15,C_0402_1005M,50.0000,10.0000,0.0,TOP
C16,C_0402_1005M,69.0000,21.0000,0.0,TOP
C17,C_0402_1005M,74.0000,21.0000,0.0,TOP
FB1,MURATA_BLM21_0805,78.0000,15.0000,0.0,TOP
R15,R_0603_1608M,54.0000,21.0000,0.0,TOP
R16,R_0603_1608M,57.0000,21.0000,0.0,TOP
U3,TI_DGS10_VSSOP,50.0000,15.0000,0.0,TOP
U4,TI_D8_SOIC,61.0000,15.0000,0.0,TOP
C18,C_0603_1608M,69.0000,10.0000,0.0,TOP
D1,LED_0603_1608M,104.0000,15.0000,0.0,TOP
J3,HDR_1X4_2P54_RA,89.0000,15.0000,0.0,TOP
Q1,SOT23_STANDARD,100.0000,15.0000,0.0,TOP
R17,R_0603_1608M,46.0000,10.0000,0.0,TOP
R18,R_0603_1608M,61.0000,9.0000,0.0,TOP
R19,R_0603_1608M,103.0000,21.0000,90.0,TOP
RISO1,R_0603_1608M,75.0000,10.0000,0.0,TOP
TP1,HARWIN_S1751_46R,43.0000,61.5000,0.0,TOP
TP2,HARWIN_S1751_46R,65.0000,49.0000,0.0,TOP
TP3,HARWIN_S1751_46R,78.0000,49.0000,0.0,TOP
TP4,HARWIN_S1751_46R,99.0000,61.0000,0.0,TOP
TP5,HARWIN_S1751_46R,80.0000,10.0000,0.0,TOP
TP6,HARWIN_S1751_46R,74.0000,49.0000,0.0,TOP
TP7,HARWIN_S1751_46R,46.0000,20.0000,0.0,TOP
TP8,HARWIN_S1751_46R,66.0000,21.0000,0.0,TOP
TP9,HARWIN_S1751_46R,95.0000,9.0000,0.0,TOP
U5,ADI_CP_8_10,72.0000,15.0000,0.0,TOP
