RefDes,Package,X_mm,Y_mm,Rotation_deg,Side,Assembly_Disposition,Source_Board_SHA256,Release_Disposition
J2,AMPHENOL_MDT420M01501,36.0000,36.0000,90.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
C1,C_0402_1005M,48.0000,52.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
C2,C_0603_1608M_RESERVED,47.0000,60.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
C3,C_0603_1608M_RESERVED,50.0000,60.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
R1,R_0603_1608M,47.0000,62.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
R2,R_0603_1608M,49.5000,62.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
R3,R_0603_1608M,52.0000,62.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
R4,R_0603_1608M,54.5000,62.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
R5,R_0603_1608M,57.0000,62.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
R6,R_0603_1608M,59.5000,62.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
U1,TI_RPW10_2P0X2P0,50.0000,56.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
