Reference_or_Assembly,Manufacturer,Manufacturer_Part_Number,Footprint_or_Board_Object,Canonical_Model_Name,Model_Format,Official_Model_Source,Official_Drawing_Source,Local_Model_Path,File_SHA256,Units,CAD_Datum,Footprint_Datum,Rotation_X_deg,Rotation_Y_deg,Rotation_Z_deg,Offset_X_mm,Offset_Y_mm,Offset_Z_mm,Nominal_Height_mm,Height_Source,Collision_Evidence_Path,Model_Status,Mapping_Status,Collision_Check_Status,Notes
BOARD_ASSEMBLY,Project defined,PCIE_GEN3_X4_NVME_ADAPTER_REVA,BOARD_GEOMETRY,STAGE3_REVK_INTERVIEW_DIGITAL_COMPLETE_BOARD,BOARD_NATIVE,Project-authored native board,Pending CEM controlled drawing,pcb/allegro/stage3/pcie_gen3_x4_nvme_adapter_reva_stage3_route_revk_interview_digital_complete.brd,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,mm,DATUM_A_B_C,BOARD_ORIGIN_0_0,0,0,0,0,0,0,1.6,Native six-layer cross-section,evidence/stage3/3dx_native_revk/revk_status_drc0_zero_islands_with_ui.png,Engineering_Assumption,Engineering_Assumption,Estimated,"RevK native routed board; DRC 0; active rats 0; shape islands 0; stack-up remains Pending_Fabricator_Confirmation"
J1_PCIE_INTERFACE,Project defined,BOARD_DEFINED_EDGE_X4,PCIE_CEM_X4_EDGE_REVA,PCIE_EDGE_BOARD_GEOMETRY,BOARD_NATIVE,Pending controlled CEM specification,Pending controlled CEM drawing,pcb/allegro/stage3/pcie_gen3_x4_nvme_adapter_reva_stage3_route_revk_interview_digital_complete.brd,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,mm,DATUM_A_B_C,BOARD_EDGE_DATUM,0,0,0,0,0,0,1.6,Native board copper and soldermask,evidence/stage3/3dx_native_revk/revk_top_with_ui.png,Engineering_Assumption,Pending_Human_Verification,Pending_Human_Verification,"RevK board-defined gold fingers are rendered; controlled CEM geometry is still unavailable"
J2,Amphenol,MDT420M01501,AMPHENOL_MDT420M01501,AMPHENOL_MDT420M01501_VENDOR_C3D_REV_UNSTATED,STEP,https://cdn.amphenol-cs.com/media/wysiwyg/files/3d/smdt420m01501_c3d.zip,https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/cmdt420x01501.pdf,pcb/3d_models/amphenol_mdt420m01501_vendor-c3d-rev-unstated_2026-07-24.stp,F5427DE4C21FD8C98D0425E09D63247DC632733ACE2211E52F6E282C68F593CD,mm,VENDOR_STEP_ORIGIN_MDT420M_ASSY,FOOTPRINT_CENTER_SEATING_DATUM,90,0,0,0,0,0.65,4.7,Amphenol controlled drawing Rev A,evidence/stage3/3d/collision_report.csv,Confirmed_Official,Confirmed_Official,Pending_Human_Verification,"Transform frozen in RevI; 3D-01 remains blocked because the exact supported SSD model is unavailable"
SSD_2280_ASSEMBLY,Western Digital,WDS100T3X0C,M2_2280_MODULE,WD_BLACK_SN750_1TB_WDS100T3X0C_ENGINEERING,STEP,https://documents.westerndigital.com/content/dam/doc-library/en_gb/assets/public/western-digital/product/internal-drives/wd-black-ssd/product-brief-wd-black-sn750-nvme-ssd.pdf,WD Black SN750 product brief,pcb/3d_models/stage3/wd_black_sn750_1tb_wds100t3x0c_engineering.step,34A48F5AC19EDA7418E91B96B76D3200F0309A1EF09B49DA831AF13024002BB9,mm,MODEL_CENTER,M2_MODULE_CENTER_DATUM,0,0,0,0,0,4.2,2.38,WD documented 80 x 22 x 2.38 mm envelope,evidence/stage3/3d/collision_report.csv,Engineering_Assumption,Engineering_Assumption,Pending_Human_Verification,"Reference SSD envelope is dimension-controlled; component pattern and missing mounting-hole solid are presentation assumptions"
MH1,Pending selection,TBD_M2_2280_STANDOFF,M2_2280_STANDOFF_PENDING,M2_2280_STANDOFF_ENGINEERING,STEP,Pending selected vendor,Project conservative retention envelope,pcb/3d_models/stage3/m2_2280_standoff_engineering.step,3A6DF80A8208CA07177ABB4EB8BCA29EC1D7D7B18A39D7362985D89B7E4A02AC,mm,MODEL_CENTER,MOUNT_CENTER_DATUM,0,0,0,0,0,0,4.95,Project support-height assumption,evidence/stage3/3d/collision_report.csv,Engineering_Assumption,Engineering_Assumption,Pending_Human_Verification,"Support height is 4.2 mm; exact purchased retention hardware is not selected"
BR1,Pending selection,CUSTOM_LOW_PROFILE_PCIE_BRACKET,PCIE_LOW_PROFILE_BRACKET_PENDING,LOW_PROFILE_PCIE_BRACKET_ENGINEERING,STEP,Pending approved custom or selected vendor,Pending controlled CEM and bracket drawing,pcb/3d_models/stage3/low_profile_pcie_bracket_engineering.step,EBDFDCD622515A26A07205B1BCCA2456209C2678444F078D2B5DA3F65BA64AD7,mm,MODEL_BOARD_EDGE_DATUM,BOARD_EDGE_DATUM,0,0,0,0,0,0,16.2,Project conservative low-profile envelope,evidence/stage3/3d/collision_report.csv,Engineering_Assumption,Engineering_Assumption,Pending_Human_Verification,"Presentation bracket only; no chassis-fit or controlled-bracket Pass claim"
U1,Texas Instruments,TPS259472LRPWR,TI_RPW10_2P0X2P0,TI_RPW10_2P0X2P0_ENGINEERING,STEP,https://www.ti.com/product/TPS25947/part-details/TPS259472LRPWR,https://www.ti.com/lit/ds/symlink/tps25947.pdf,pcb/3d_models/stage3/ti_rpw10_2p0x2p0.step,C6A18BD2F727BC63439D9518EF9487233AA49D6DD3F954888169D2865C0CBB12,mm,PACKAGE_CENTER,FOOTPRINT_CENTER,0,0,0,0,0,0,0.8,TI RPW package drawing,evidence/stage3/3d/stage3_mcad_readback.json,Engineering_Assumption,Engineering_Assumption,Estimated,"Dimension-controlled package body mapped in native RevI board"
U2,Texas Instruments,TPS543620RPYR,TI_RPY14_2P5X3P0,TI_RPY14_2P5X3P0_ENGINEERING,STEP,https://www.ti.com/product/TPS543620,https://www.ti.com/lit/ds/symlink/tps543620.pdf,pcb/3d_models/stage3/ti_rpy14_2p5x3p0.step,7856C1C27DC1429713F04146952BA760056BC4BEBED292134BA6F50DCD540B93,mm,PACKAGE_CENTER,FOOTPRINT_CENTER,0,0,0,0,0,0,0.8,TI RPY package drawing,evidence/stage3/3d/stage3_mcad_readback.json,Engineering_Assumption,Engineering_Assumption,Estimated,"Dimension-controlled package body mapped in native RevI board"
U3,Texas Instruments,INA238AIDGSR,TI_DGS10_VSSOP,TI_DGS10_VSSOP_ENGINEERING,STEP,https://www.ti.com/product/INA238/part-details/INA238AIDGSR,https://www.ti.com/lit/ds/symlink/ina238.pdf,pcb/3d_models/stage3/ti_dgs10_vssop.step,E81255D58232DDADEAA5961618E449FCFC058858E6801C6EF0FC3F4EC6910141,mm,PACKAGE_CENTER,FOOTPRINT_CENTER,0,0,0,0,0,0,1.1,TI DGS package drawing,evidence/stage3/3d/stage3_mcad_readback.json,Engineering_Assumption,Engineering_Assumption,Estimated,"Dimension-controlled VSSOP body and leads mapped in native RevI board"
U4,Texas Instruments,TMP1075DR,TI_D8_SOIC,TI_D8_SOIC_ENGINEERING,STEP,https://www.ti.com/product/TMP1075,https://www.ti.com/lit/ds/symlink/tmp1075.pdf,pcb/3d_models/stage3/ti_d8_soic.step,9217CA0E018DE3B1C1189D0B423BEA73CB962B9BB61CEA7797D1173745147CE4,mm,PACKAGE_CENTER,FOOTPRINT_CENTER,0,0,0,0,0,0,1.75,TI D package drawing,evidence/stage3/3d/stage3_mcad_readback.json,Engineering_Assumption,Engineering_Assumption,Estimated,"Dimension-controlled SOIC body and leads mapped in native RevI board"
