Case_ID,COUT_EFF_uF,ESR_mOhm,CFF_pF,Timeout_s,Elapsed_s,Exit_Code,Disposition,OUT_Bytes,CSD_Bytes,Circuit_SHA256,OUT_SHA256,CSD_SHA256,Status
cout100u_esr2m_cff0p0p,100,2,0.0,15,15.273,,Not_Concluded_Runtime_Limit,1201,958464,3A29FE5A873C2CAE95AFD42A63F8272D545E3C253B957C669CA52E13EDEC9F9C,AE3F4DB28F5FB330E624A588B72C33FBC10C918C6ACFBDFFC63503995EBC3B57,24AD2F69359D50225E351DBD156CF2039D20E0230BFCAE773EE08A5834A9667E,Simulated
cout100u_esr2m_cff4p7p,100,2,4.7,15,15.342,,Not_Concluded_Runtime_Limit,1223,925696,E76F21F14D5DDA6021465F5D85FDC17544FB773C4DFA6A821151237BD15A193A,40B9E5EC98ACA3C31EC12DB11CAD2B9219E84A6E00B3A7E636427745E5C9AE98,58F5146A457FA796C62E383CEFE940E117E897FED5A36D68EBD67CCC1D9454A4,Simulated
cout100u_esr2m_cff8p2p,100,2,8.2,15,15.485,,Not_Concluded_Runtime_Limit,1223,925696,0DE0E19BB296DE0F2CF581630678F94171D7EA6A8798C27D1DAB1B218959F2B6,896EDAD7EFCE6943FCDB55D65BE5695CF510A78599A1B2E9D4252911708A9AF7,7C7BA9007F0B1AFF4CE8179ECBCDC4CFBC9AACEBE5F9B715BB9AC7D827B6AD5B,Simulated
cout100u_esr3m_cff0p0p,100,3,0.0,15,15.407,,Not_Concluded_Runtime_Limit,1201,966656,71E40F10928F33275964D26E599B2ADEDEEE933F2143D42D27AD038AC86BA1F4,D5E805A28D3F12B1F6987B74CD9A77447C22C4A5A92C81414523E56C4EC56DF9,6D883E1893745F704E7A22A1F81176D0B7110A61FF16EADEED183A8AD62F3EB1,Simulated
cout100u_esr3m_cff4p7p,100,3,4.7,15,15.432,,Not_Concluded_Runtime_Limit,1223,1064960,F61D8B3A4E70944D5DE4E7C57FECAD3305C41CA787AD86CDD458D516B3AC981F,7A9DE6E18E5D498260A5CCB50B62498FB73094428FE853F3DC9AA175C388FDA6,D63236B73BD76E85A9705F1B757ADB7584028286E96D803C34C78347049FCE0B,Simulated
cout100u_esr3m_cff8p2p,100,3,8.2,15,15.36,,Not_Concluded_Runtime_Limit,1223,892928,B5BCAEA3A91BC61774EBC43481989E352B44AA4311B1A247B9FD4E86E5685A1D,AF8DC3278458099A95FC442C48A5468C8374D6A17F6F2444D580B22AD40E1AF7,D87E4E67B2E38BDC64F541770EC75A33D018A627385840250285007806520BE1,Simulated
cout100u_esr5m_cff0p0p,100,5,0.0,15,15.293,,Not_Concluded_Runtime_Limit,1201,835584,C7303A7240973719399D40E1DFF468514A51DB58F532CF837068EE4245FAC069,66C5DA28A4FB8D317E7909C2EC1322FF74AA898B6495BEC61D2155E608B175B4,1255F6865503DF5162241D545EC182320B62CB07C7FAB7A3D45E60DDF707D7F2,Simulated
cout100u_esr5m_cff4p7p,100,5,4.7,15,15.355,,Not_Concluded_Runtime_Limit,1223,909312,FA9AE9A29D7EB0381A9D34227FC79B131B884B9932188FB9AFE99A53EE71406C,6E07368C8A28C0DB94E16AD66905DDF42772F973860A1C3E509BF91C7D3F33AC,1DA7153F423C421A0E7464A47B7E2D73DDA0436C3EF1FCBD849F45925AC838BA,Simulated
cout100u_esr5m_cff8p2p,100,5,8.2,15,15.305,,Not_Concluded_Runtime_Limit,1223,892928,D254C41A10523C9373375E0BE616AC6B4C6E6753E4760839A3ECF1394ADF1A4B,E21491BE026AF0836A0A0C1675B8990B913964CB92BD3C01E8B3E4E97B2323AD,B8AC1347296D2BAB4749FFF4D6865140427F5337ED824A982076EBA08D99DC40,Simulated
cout132u_esr2m_cff0p0p,132,2,0.0,15,15.254,,Not_Concluded_Runtime_Limit,1201,835584,188E74191DFD933EC8BC99DD25667CA104C2E9CD9D64AC28522CCA1DC8C89975,C9C372E879FA7FEA8CBA7BE63447AABF962A3C0CC17740B2E9FF45BFC2533C38,22DFD10D252134F5F724C9A5156C5E8988B7260E25120C0BB0BF7B06CCD9D12E,Simulated
cout132u_esr2m_cff4p7p,132,2,4.7,15,15.27,,Not_Concluded_Runtime_Limit,1223,811008,AAC80CD37FD94841CB4D38952A14E216BA1E3ABA5FBE69BB9EE032803AA19A63,2AA7988F8035E0CED80051A5885DD3F8B53C062598DAE490BD167F35015BB2ED,0DA7F93B54EF7C7AA7B75CEE418E0A53992AB96CE617A8FC3E0A12B8BAAE2CF5,Simulated
cout132u_esr2m_cff8p2p,132,2,8.2,15,15.322,,Not_Concluded_Runtime_Limit,1223,884736,6BDFA09DFFC053DB2D20DD783A6F7B4267A4B816AF417AADF5A02B83227D570D,961EBF28BFDC88A86574EF8E0AE2231A89DA1B50E814250FE7BB4C3C987D2480,354799ED6099797B0131798ED5C852ACD84F42B8D8A843243F94577589A14849,Simulated
cout132u_esr3m_cff0p0p,132,3,0.0,15,15.303,,Not_Concluded_Runtime_Limit,1201,868352,800FB8543260FBBE3C270DD3F6675516C1F54D814BC7E0D4208F532CFEF57E54,D8D2427E3AEDD972607DEBC3643F6A99EF38678F01492CD6872D5B24B9135FFB,CA52DB2F14B6DEA631339BADC112F9886B19E9A7573638CE7C055BEE4218CBF7,Simulated
cout132u_esr3m_cff4p7p,132,3,4.7,15,15.357,,Not_Concluded_Runtime_Limit,1223,827392,168EF51A1479939BFE0A253278917086A3A3E4041CC5105C00086BB4472631D9,0BC1C089A351864E3977DCEA312078C7D9A9EC17D09595B65357A3EC6D7D7AEC,15549DD426FD45AE18F666F6C6B856DFBF781E0FE87FE356C63A5A26FFF7EA1C,Simulated
cout132u_esr3m_cff8p2p,132,3,8.2,15,15.392,,Not_Concluded_Runtime_Limit,1223,638976,C7ACE92260C9F274CFF8FB18C6348D972FADFF1E57405F714D55329A23B2DC7F,2702FCE079DA6EA7B3D148C1DAB1BF363A7188F74DD4FA7895BA51CE03B846D1,EEC5C788DFF9B55119CF70C5BE2787A954F1079443F161DC416325F8193F5EAC,Simulated
cout132u_esr5m_cff0p0p,132,5,0.0,15,15.366,,Not_Concluded_Runtime_Limit,1201,581632,8B93845833D2B5F760C6087955BBC2A1635920E6EBD10168DABBA877878DCE5B,4848FDE3F274C0D31FE3ED39F5C1FEB48AF0968C1D2D876513C2531AB66DCA42,6F871D3B5A1863B0970C5BF5B3F4D10B2F234316239A160E5197F033843FE761,Simulated
cout132u_esr5m_cff4p7p,132,5,4.7,15,15.431,,Not_Concluded_Runtime_Limit,1223,581632,A1FA5120A8E5827F3E262B42A410231BC83A9F46D3F3CC3022149AB0A15F0815,251D24AB5386FC1FE7C3EBCD0CA5B443DA9B6E75828B75367DCD5330AF453BF7,DC4C3A053624F3C530827DA70639867EB0D9C7D62E69382B8A06827DACB7AD73,Simulated
cout132u_esr5m_cff8p2p,132,5,8.2,15,15.354,,Not_Concluded_Runtime_Limit,1223,475136,34DE7D54FD9F296EE58B595C934930905C6C0CE9A341CFDD4E6E066670B310CF,824E81156D805DAA1420979CA4950368F8B8C485DD702FCCB3BA9EF553C24FE6,3A69B1AAFF7A30D583A6A2FB1D33136B7F5D6A215ACDF11DFD53AC403A9E50E3,Simulated
