Page,RefDes,Symbol,Value,Footprint,MPN,Assembly_Disposition,Status
02_PCIE_EDGE_INTERFACE,J1,PCIE_EDGE_X4_REVA_PUB,CUSTOM-PCIE-GEN3-X4-EDGE,PCIE_CEM_X4_EDGE_REVA,CUSTOM-PCIE-GEN3-X4-EDGE,PCB_Feature,Engineering_Assumption
03_M2_NVME_INTERFACE,J2,M2_M_KEY_REVA_PUBLIC_BASELINE,MDT420M01501,AMPHENOL_MDT420M01501,MDT420M01501,Populate,Engineering_Assumption
04_POWER_INPUT_PROTECTION,C1,CAPACITOR_NP,0.1 uF,C_0402_1005M,GRM155R71H104KE14D,Populate,Engineering_Assumption
04_POWER_INPUT_PROTECTION,C2,CAPACITOR_NP,TBD_AFTER_CEM_DVDT_REVIEW,C_0603_1608M_RESERVED,TBD_AFTER_CEM_DVDT_REVIEW,Populate,Engineering_Assumption
04_POWER_INPUT_PROTECTION,C3,CAPACITOR_NP,TBD_AFTER_CEM_ITIMER_REVIEW,C_0603_1608M_RESERVED,TBD_AFTER_CEM_ITIMER_REVIEW,Populate,Engineering_Assumption
04_POWER_INPUT_PROTECTION,D2,TVS_UNI,SMBJ14A,DO214AA_SMB,SMBJ14A,DNP,Engineering_Assumption
04_POWER_INPUT_PROTECTION,R1,RESISTOR,TBD_AFTER_CEM_EFUSE_UVLO_TOP,R_0603_1608M,TBD_AFTER_CEM_EFUSE_UVLO_TOP,Populate,Engineering_Assumption
04_POWER_INPUT_PROTECTION,R2,RESISTOR,TBD_AFTER_CEM_EFUSE_UVLO_BOTTOM,R_0603_1608M,TBD_AFTER_CEM_EFUSE_UVLO_BOTTOM,Populate,Engineering_Assumption
04_POWER_INPUT_PROTECTION,R3,RESISTOR,TBD_AFTER_CEM_EFUSE_OVCSEL,R_0603_1608M,TBD_AFTER_CEM_EFUSE_OVCSEL,Populate,Engineering_Assumption
04_POWER_INPUT_PROTECTION,R4,RESISTOR,TBD_AFTER_CEM_EFUSE_PGTH_TOP,R_0603_1608M,TBD_AFTER_CEM_EFUSE_PGTH_TOP,Populate,Engineering_Assumption
04_POWER_INPUT_PROTECTION,R5,RESISTOR,TBD_AFTER_CEM_EFUSE_PGTH_BOTTOM,R_0603_1608M,TBD_AFTER_CEM_EFUSE_PGTH_BOTTOM,Populate,Engineering_Assumption
04_POWER_INPUT_PROTECTION,R6,RESISTOR,TBD_AFTER_CEM_EFUSE_ILIM,R_0603_1608M,TBD_AFTER_CEM_EFUSE_ILIM,Populate,Engineering_Assumption
04_POWER_INPUT_PROTECTION,U1,TPS259472L_RPW,TPS259472LRPWR,TI_RPW10_2P0X2P0,TPS259472LRPWR,Populate,Engineering_Assumption
05_3V3_POWER,C4,CAPACITOR_NP,10 uF,C_1210_3225M,C3225X7R1E106K250AC,Populate,Engineering_Assumption
05_3V3_POWER,C5,CAPACITOR_NP,10 uF,C_1210_3225M,C3225X7R1E106K250AC,Populate,Engineering_Assumption
05_3V3_POWER,C6,CAPACITOR_NP,0.1 uF,C_0402_1005M,GRM155R71H104KE14D,Populate,Engineering_Assumption
05_3V3_POWER,C7,CAPACITOR_NP,0.1 uF,C_0402_1005M,GRM155R71H104KE14D,Populate,Engineering_Assumption
05_3V3_POWER,C8,CAPACITOR_NP,2.2 uF,C_0603_1608M,GRM188R71A225KE15D,Populate,Engineering_Assumption
05_3V3_POWER,C9,CAPACITOR_NP,0.1 uF,C_0402_1005M,GRM155R71H104KE14D,Populate,Engineering_Assumption
05_3V3_POWER,C10,CAPACITOR_NP,33 pF,C_0402_1005M,GRM1555C1H330JA01D,Populate,Engineering_Assumption
05_3V3_POWER,C11,CAPACITOR_NP,22 uF,C_1210_3225M,C3225X7R1C226M250AC,Populate,Engineering_Assumption
05_3V3_POWER,C12,CAPACITOR_NP,22 uF,C_1210_3225M,C3225X7R1C226M250AC,Populate,Engineering_Assumption
05_3V3_POWER,C13,CAPACITOR_NP,22 uF,C_1210_3225M,C3225X7R1C226M250AC,Populate,Engineering_Assumption
05_3V3_POWER,C14,CAPACITOR_NP,22 uF,C_1210_3225M,C3225X7R1C226M250AC,Populate,Engineering_Assumption
05_3V3_POWER,L1,INDUCTOR,1.5 uH,COILCRAFT_XGL5050,XGL5050-152MEC,Populate,Engineering_Assumption
05_3V3_POWER,R7,RESISTOR,10 kOhm,R_0603_1608M,RC0603FR-0710KL,Populate,Engineering_Assumption
05_3V3_POWER,R8,RESISTOR,11.8 kOhm,R_0603_1608M,RC0603FR-0711K8L,Populate,Engineering_Assumption
05_3V3_POWER,R9,RESISTOR,11.3 kOhm,R_0603_1608M,RC0603FR-0711K3L,Populate,Engineering_Assumption
05_3V3_POWER,R10,RESISTOR,16.9 kOhm,R_0603_1608M,RC0603FR-0716K9L,Populate,Engineering_Assumption
05_3V3_POWER,R11,RESISTOR,6.04 kOhm,R_0603_1608M,RC0603FR-076K04L,Populate,Engineering_Assumption
05_3V3_POWER,R12,RESISTOR,28.0 kOhm,R_0603_1608M,RC0603FR-0728KL,Populate,Engineering_Assumption
05_3V3_POWER,R13,RESISTOR,4.99 kOhm,R_0603_1608M,RC0603FR-074K99L,Populate,Engineering_Assumption
05_3V3_POWER,R14,RESISTOR,10 kOhm,R_0603_1608M,RC0603FR-0710KL,Populate,Engineering_Assumption
05_3V3_POWER,RSH1,WSK2512_4T,5 mOhm,VISHAY_WSK2512_4T,WSK25125L000FEA,Populate,Engineering_Assumption
05_3V3_POWER,U2,TPS543620_RPY,TPS543620RPYR,TI_RPY14_2P5X3P0,TPS543620RPYR,Populate,Engineering_Assumption
06_POWER_TELEMETRY,C15,CAPACITOR_NP,0.1 uF,C_0402_1005M,GRM155R71H104KE14D,Populate,Engineering_Assumption
06_POWER_TELEMETRY,C16,CAPACITOR_NP,0.1 uF,C_0402_1005M,GRM155R71H104KE14D,Populate,Engineering_Assumption
