Page,Instance_Name,Reference,Reference_Designator,Part_Value,PCB_Footprint,Reference_Property
"02_PCIE_EDGE_INTERFACE","INS127","J1","J1","CUSTOM-PCIE-GEN3-X4-EDGE","PCIE_CEM_X4_EDGE_REVA","J1"
"03_M2_NVME_INTERFACE","INS257","J2","J2","MDT420M01501","AMPHENOL_MDT420M01501","J2"
"04_POWER_INPUT_PROTECTION","INS405","C3","C3","TBD_AFTER_CEM_ITIMER_REVIEW","C_0603_1608M_RESERVED","C3"
"04_POWER_INPUT_PROTECTION","INS507","R1","R1","TBD_AFTER_CEM_EFUSE_UVLO_TOP","R_0603_1608M","R1"
"04_POWER_INPUT_PROTECTION","INS513","R2","R2","TBD_AFTER_CEM_EFUSE_UVLO_BOTTOM","R_0603_1608M","R2"
"04_POWER_INPUT_PROTECTION","INS519","R3","R3","TBD_AFTER_CEM_EFUSE_OVCSEL","R_0603_1608M","R3"
"04_POWER_INPUT_PROTECTION","INS525","R4","R4","TBD_AFTER_CEM_EFUSE_PGTH_TOP","R_0603_1608M","R4"
"04_POWER_INPUT_PROTECTION","INS627","U1","U1","TPS259472LRPWR","TI_RPW10_2P0X2P0","U1"
"04_POWER_INPUT_PROTECTION","INS531","R5","R5","TBD_AFTER_CEM_EFUSE_PGTH_BOTTOM","R_0603_1608M","R5"
"04_POWER_INPUT_PROTECTION","INS537","R6","R6","TBD_AFTER_CEM_EFUSE_ILIM","R_0603_1608M","R6"
"04_POWER_INPUT_PROTECTION","INS393","C1","C1","0.1 uF","C_0402_1005M","C1"
"04_POWER_INPUT_PROTECTION","INS399","C2","C2","TBD_AFTER_CEM_DVDT_REVIEW","C_0603_1608M_RESERVED","C2"
"04_POWER_INPUT_PROTECTION","INS501","D2","D2","SMBJ14A","DO214AA_SMB","D2"
"05_3V3_POWER","INS411","C4","C4","10 uF","C_1210_3225M","C4"
"05_3V3_POWER","INS417","C5","C5","10 uF","C_1210_3225M","C5"
"05_3V3_POWER","INS423","C6","C6","0.1 uF","C_0402_1005M","C6"
"05_3V3_POWER","INS429","C7","C7","0.1 uF","C_0402_1005M","C7"
"05_3V3_POWER","INS435","C8","C8","2.2 uF","C_0603_1608M","C8"
"05_3V3_POWER","INS441","C9","C9","0.1 uF","C_0402_1005M","C9"
"05_3V3_POWER","INS543","R7","R7","10 kOhm","R_0603_1608M","R7"
"05_3V3_POWER","INS447","C10","C10","33 pF","C_0402_1005M","C10"
"05_3V3_POWER","INS649","L1","L1","1.5 uH","COILCRAFT_XGL5050","L1"
"05_3V3_POWER","INS549","R8","R8","11.8 kOhm","R_0603_1608M","R8"
"05_3V3_POWER","INS453","C11","C11","22 uF","C_1210_3225M","C11"
"05_3V3_POWER","INS655","RSH1","RSH1","5 mOhm","VISHAY_WSK2512_4T","RSH1"
"05_3V3_POWER","INS555","R9","R9","11.3 kOhm","R_0603_1608M","R9"
"05_3V3_POWER","INS459","C12","C12","22 uF","C_1210_3225M","C12"
"05_3V3_POWER","INS561","R10","R10","16.9 kOhm","R_0603_1608M","R10"
"05_3V3_POWER","INS665","U2","U2","TPS543620RPYR","TI_RPY14_2P5X3P0","U2"
"05_3V3_POWER","INS465","C13","C13","22 uF","C_1210_3225M","C13"
"05_3V3_POWER","INS567","R11","R11","6.04 kOhm","R_0603_1608M","R11"
"05_3V3_POWER","INS471","C14","C14","22 uF","C_1210_3225M","C14"
"05_3V3_POWER","INS573","R12","R12","28.0 kOhm","R_0603_1608M","R12"
"05_3V3_POWER","INS579","R13","R13","4.99 kOhm","R_0603_1608M","R13"
"05_3V3_POWER","INS585","R14","R14","10 kOhm","R_0603_1608M","R14"
"06_POWER_TELEMETRY","INS723","U4","U4","TMP1075DR","TI_D8_SOIC","U4"
"06_POWER_TELEMETRY","INS477","C15","C15","0.1 uF","C_0402_1005M","C15"
"06_POWER_TELEMETRY","INS483","C16","C16","0.1 uF","C_0402_1005M","C16"
"06_POWER_TELEMETRY","INS489","C17","C17","0.1 uF","C_0402_1005M","C17"
"06_POWER_TELEMETRY","INS591","R15","R15","4.7 kOhm","R_0603_1608M","R15"
"06_POWER_TELEMETRY","INS695","FB1","FB1","220 ohm","MURATA_BLM21_0805","FB1"
"06_POWER_TELEMETRY","INS597","R16","R16","4.7 kOhm","R_0603_1608M","R16"
"06_POWER_TELEMETRY","INS701","U3","U3","INA238AIDGSR","TI_DGS10_VSSOP","U3"
"07_DEBUG_AND_TESTPOINTS","INS609","R18","R18","10 kOhm","R_0603_1608M","R18"
"07_DEBUG_AND_TESTPOINTS","INS615","R19","R19","1 kOhm","R_0603_1608M","R19"
"07_DEBUG_AND_TESTPOINTS","INS621","RISO1","RISO1","10 kOhm","R_0603_1608M","RISO1"
"07_DEBUG_AND_TESTPOINTS","INS741","D1","D1","GREEN","LED_0603_1608M","D1"
"07_DEBUG_AND_TESTPOINTS","INS747","J3","J3","TSW-104-08-L-S-RA","HDR_1X4_2P54_RA","J3"
"07_DEBUG_AND_TESTPOINTS","INS757","Q1","Q1","2N7002-7-F","SOT23_STANDARD","Q1"
"07_DEBUG_AND_TESTPOINTS","INS765","TP1","TP1","S1751-46R","HARWIN_S1751_46R","TP1"
"07_DEBUG_AND_TESTPOINTS","INS769","TP2","TP2","S1751-46R","HARWIN_S1751_46R","TP2"
"07_DEBUG_AND_TESTPOINTS","INS773","TP3","TP3","S1751-46R","HARWIN_S1751_46R","TP3"
"07_DEBUG_AND_TESTPOINTS","INS777","TP4","TP4","S1751-46R","HARWIN_S1751_46R","TP4"
"07_DEBUG_AND_TESTPOINTS","INS781","TP5","TP5","S1751-46R","HARWIN_S1751_46R","TP5"
"07_DEBUG_AND_TESTPOINTS","INS785","TP6","TP6","S1751-46R","HARWIN_S1751_46R","TP6"
"07_DEBUG_AND_TESTPOINTS","INS789","TP7","TP7","S1751-46R","HARWIN_S1751_46R","TP7"
"07_DEBUG_AND_TESTPOINTS","INS793","TP8","TP8","S1751-46R","HARWIN_S1751_46R","TP8"
"07_DEBUG_AND_TESTPOINTS","INS797","TP9","TP9","S1751-46R","HARWIN_S1751_46R","TP9"
"07_DEBUG_AND_TESTPOINTS","INS495","C18","C18","1 uF","C_0603_1608M","C18"
"07_DEBUG_AND_TESTPOINTS","INS801","U5","U5","ADP198ACPZ-R7","ADI_CP_8_10","U5"
"07_DEBUG_AND_TESTPOINTS","INS603","R17","R17","10 kOhm","R_0603_1608M","R17"
