Page,OffPage_Name,Source_Symbol,Object_ID,Location_X,Location_Y,HotSpot_X,HotSpot_Y
"02_PCIE_EDGE_INTERFACE","PCIE_PRSNT_N","OFFPAGELEFT-L",1073,140,130,0,10
"02_PCIE_EDGE_INTERFACE","P12V_SLOT","OFFPAGELEFT-L",1079,140,140,0,10
"02_PCIE_EDGE_INTERFACE","P12V_SLOT","OFFPAGELEFT-L",1085,140,150,0,10
"02_PCIE_EDGE_INTERFACE","GND","OFFPAGELEFT-L",1091,140,160,0,10
"02_PCIE_EDGE_INTERFACE","PCIE_PERST_N","OFFPAGELEFT-L",1097,140,230,0,10
"02_PCIE_EDGE_INTERFACE","GND","OFFPAGELEFT-L",1103,140,240,0,10
"02_PCIE_EDGE_INTERFACE","PCIE_REFCLK_P","OFFPAGELEFT-L",1109,140,250,0,10
"02_PCIE_EDGE_INTERFACE","PCIE_REFCLK_N","OFFPAGELEFT-L",1115,140,260,0,10
"02_PCIE_EDGE_INTERFACE","GND","OFFPAGELEFT-L",1121,140,270,0,10
"02_PCIE_EDGE_INTERFACE","PCIE_RX0_P","OFFPAGELEFT-L",1127,140,280,0,10
"02_PCIE_EDGE_INTERFACE","PCIE_RX0_N","OFFPAGELEFT-L",1133,140,290,0,10
"02_PCIE_EDGE_INTERFACE","GND","OFFPAGELEFT-L",1139,140,300,0,10
"02_PCIE_EDGE_INTERFACE","GND","OFFPAGELEFT-L",1145,140,320,0,10
"02_PCIE_EDGE_INTERFACE","PCIE_RX1_P","OFFPAGELEFT-L",1151,140,330,0,10
"02_PCIE_EDGE_INTERFACE","PCIE_RX1_N","OFFPAGELEFT-L",1157,140,340,0,10
"02_PCIE_EDGE_INTERFACE","GND","OFFPAGELEFT-L",1163,140,350,0,10
"02_PCIE_EDGE_INTERFACE","GND","OFFPAGELEFT-L",1169,140,360,0,10
"02_PCIE_EDGE_INTERFACE","PCIE_RX2_P","OFFPAGELEFT-L",1175,140,370,0,10
"02_PCIE_EDGE_INTERFACE","PCIE_RX2_N","OFFPAGELEFT-L",1181,140,380,0,10
"02_PCIE_EDGE_INTERFACE","GND","OFFPAGELEFT-L",1187,140,390,0,10
"02_PCIE_EDGE_INTERFACE","GND","OFFPAGELEFT-L",1193,140,400,0,10
"02_PCIE_EDGE_INTERFACE","PCIE_RX3_P","OFFPAGELEFT-L",1199,140,410,0,10
"02_PCIE_EDGE_INTERFACE","PCIE_RX3_N","OFFPAGELEFT-L",1205,140,420,0,10
"02_PCIE_EDGE_INTERFACE","GND","OFFPAGELEFT-L",1211,140,430,0,10
"02_PCIE_EDGE_INTERFACE","P12V_SLOT","OFFPAGELEFT-L",1217,300,130,0,10
"02_PCIE_EDGE_INTERFACE","P12V_SLOT","OFFPAGELEFT-L",1223,300,140,0,10
"02_PCIE_EDGE_INTERFACE","P12V_SLOT","OFFPAGELEFT-L",1229,300,150,0,10
"02_PCIE_EDGE_INTERFACE","GND","OFFPAGELEFT-L",1235,300,160,0,10
"02_PCIE_EDGE_INTERFACE","GND","OFFPAGELEFT-L",1241,300,190,0,10
"02_PCIE_EDGE_INTERFACE","PCIE_PEWAKE_N","OFFPAGELEFT-L",1247,300,230,0,10
"02_PCIE_EDGE_INTERFACE","PCIE_CLKREQ_N","OFFPAGELEFT-L",1253,300,240,0,10
"02_PCIE_EDGE_INTERFACE","GND","OFFPAGELEFT-L",1259,300,250,0,10
"02_PCIE_EDGE_INTERFACE","PCIE_TX0_P","OFFPAGELEFT-L",1265,300,260,0,10
"02_PCIE_EDGE_INTERFACE","PCIE_TX0_N","OFFPAGELEFT-L",1271,300,270,0,10
"02_PCIE_EDGE_INTERFACE","GND","OFFPAGELEFT-L",1277,300,280,0,10
"02_PCIE_EDGE_INTERFACE","GND","OFFPAGELEFT-L",1283,300,300,0,10
"02_PCIE_EDGE_INTERFACE","PCIE_TX1_P","OFFPAGELEFT-L",1289,300,310,0,10
"02_PCIE_EDGE_INTERFACE","PCIE_TX1_N","OFFPAGELEFT-L",1295,300,320,0,10
"02_PCIE_EDGE_INTERFACE","GND","OFFPAGELEFT-L",1301,300,330,0,10
"02_PCIE_EDGE_INTERFACE","GND","OFFPAGELEFT-L",1307,300,340,0,10
"02_PCIE_EDGE_INTERFACE","PCIE_TX2_P","OFFPAGELEFT-L",1313,300,350,0,10
"02_PCIE_EDGE_INTERFACE","PCIE_TX2_N","OFFPAGELEFT-L",1319,300,360,0,10
"02_PCIE_EDGE_INTERFACE","GND","OFFPAGELEFT-L",1325,300,370,0,10
"02_PCIE_EDGE_INTERFACE","GND","OFFPAGELEFT-L",1331,300,380,0,10
"02_PCIE_EDGE_INTERFACE","PCIE_TX3_P","OFFPAGELEFT-L",1337,300,390,0,10
"02_PCIE_EDGE_INTERFACE","PCIE_TX3_N","OFFPAGELEFT-L",1343,300,400,0,10
"02_PCIE_EDGE_INTERFACE","GND","OFFPAGELEFT-L",1349,300,410,0,10
"02_PCIE_EDGE_INTERFACE","PCIE_PRSNT_N","OFFPAGELEFT-L",1355,300,430,0,10
"02_PCIE_EDGE_INTERFACE","GND","OFFPAGELEFT-L",1361,300,440,0,10
"03_M2_NVME_INTERFACE","GND","OFFPAGELEFT-L",1367,140,130,0,10
"03_M2_NVME_INTERFACE","P3V3_NVME","OFFPAGELEFT-L",1373,140,140,0,10
"03_M2_NVME_INTERFACE","GND","OFFPAGELEFT-L",1379,140,150,0,10
"03_M2_NVME_INTERFACE","P3V3_NVME","OFFPAGELEFT-L",1385,140,160,0,10
"03_M2_NVME_INTERFACE","PCIE_RX3_N","OFFPAGELEFT-L",1391,140,170,0,10
"03_M2_NVME_INTERFACE","PCIE_RX3_P","OFFPAGELEFT-L",1397,140,190,0,10
"03_M2_NVME_INTERFACE","GND","OFFPAGELEFT-L",1403,140,210,0,10
"03_M2_NVME_INTERFACE","PCIE_TX3_N","OFFPAGELEFT-L",1409,140,230,0,10
"03_M2_NVME_INTERFACE","P3V3_NVME","OFFPAGELEFT-L",1415,140,240,0,10
"03_M2_NVME_INTERFACE","PCIE_TX3_P","OFFPAGELEFT-L",1421,140,250,0,10
"03_M2_NVME_INTERFACE","P3V3_NVME","OFFPAGELEFT-L",1427,140,260,0,10
"03_M2_NVME_INTERFACE","GND","OFFPAGELEFT-L",1433,140,270,0,10
"03_M2_NVME_INTERFACE","P3V3_NVME","OFFPAGELEFT-L",1439,140,280,0,10
"03_M2_NVME_INTERFACE","PCIE_RX2_N","OFFPAGELEFT-L",1445,140,290,0,10
"03_M2_NVME_INTERFACE","P3V3_NVME","OFFPAGELEFT-L",1451,140,300,0,10
"03_M2_NVME_INTERFACE","PCIE_RX2_P","OFFPAGELEFT-L",1457,140,310,0,10
"03_M2_NVME_INTERFACE","GND","OFFPAGELEFT-L",1463,140,330,0,10
"03_M2_NVME_INTERFACE","PCIE_TX2_N","OFFPAGELEFT-L",1469,140,350,0,10
"03_M2_NVME_INTERFACE","PCIE_TX2_P","OFFPAGELEFT-L",1475,140,370,0,10
"03_M2_NVME_INTERFACE","GND","OFFPAGELEFT-L",1481,140,390,0,10
"03_M2_NVME_INTERFACE","PCIE_RX1_N","OFFPAGELEFT-L",1487,140,410,0,10
"03_M2_NVME_INTERFACE","PCIE_RX1_P","OFFPAGELEFT-L",1493,140,430,0,10
"03_M2_NVME_INTERFACE","GND","OFFPAGELEFT-L",1499,140,450,0,10
"03_M2_NVME_INTERFACE","PCIE_TX1_N","OFFPAGELEFT-L",1505,300,130,0,10
"03_M2_NVME_INTERFACE","PCIE_TX1_P","OFFPAGELEFT-L",1511,300,150,0,10
"03_M2_NVME_INTERFACE","GND","OFFPAGELEFT-L",1517,300,170,0,10
"03_M2_NVME_INTERFACE","PCIE_RX0_N","OFFPAGELEFT-L",1523,300,190,0,10
"03_M2_NVME_INTERFACE","PCIE_RX0_P","OFFPAGELEFT-L",1529,300,210,0,10
"03_M2_NVME_INTERFACE","GND","OFFPAGELEFT-L",1535,300,230,0,10
"03_M2_NVME_INTERFACE","PCIE_TX0_N","OFFPAGELEFT-L",1541,300,250,0,10
"03_M2_NVME_INTERFACE","PCIE_TX0_P","OFFPAGELEFT-L",1547,300,270,0,10
"03_M2_NVME_INTERFACE","PCIE_PERST_N","OFFPAGELEFT-L",1553,300,280,0,10
"03_M2_NVME_INTERFACE","GND","OFFPAGELEFT-L",1559,300,290,0,10
"03_M2_NVME_INTERFACE","PCIE_CLKREQ_N","OFFPAGELEFT-L",1565,300,300,0,10
"03_M2_NVME_INTERFACE","PCIE_REFCLK_N","OFFPAGELEFT-L",1571,300,310,0,10
"03_M2_NVME_INTERFACE","PCIE_PEWAKE_N","OFFPAGELEFT-L",1577,300,320,0,10
