RefDes,Pin_Number,Net_Name
C1,1,P12V_SLOT
C1,2,GND
C10,1,P3V3_NVME
C10,2,BUCK_FB
C11,1,P3V3_PRE_SENSE
C11,2,GND
C12,1,P3V3_PRE_SENSE
C12,2,GND
C13,1,P3V3_PRE_SENSE
C13,2,GND
C14,1,P3V3_PRE_SENSE
C14,2,GND
C15,1,P3V3_AUX
C15,2,GND
C16,1,P3V3_AUX
C16,2,GND
C17,1,P3V3_AUX
C17,2,GND
C18,1,P3V3_SENSE_PROTECTED
C18,2,GND
C2,1,EFUSE_DVDT
C2,2,GND
C3,1,EFUSE_ITIMER
C3,2,GND
C4,1,P12V_PROTECTED
C4,2,GND
C5,1,P12V_PROTECTED
C5,2,GND
C6,1,P12V_PROTECTED
C6,2,GND
C7,1,P12V_PROTECTED
C7,2,GND
C8,1,BP5
C8,2,GND
C9,1,BUCK_BOOT
C9,2,SW_3V3
D1,1,LED_PGOOD_ANODE
D1,2,LED_PGOOD_CATHODE
D2,1,P12V_SLOT
D2,2,GND
FB1,1,P3V3_NVME
FB1,2,P3V3_AUX
J1,A1,PCIE_PRSNT_N
J1,A11,PCIE_PERST_N
J1,A12,GND
J1,A13,PCIE_REFCLK_P
J1,A14,PCIE_REFCLK_N
J1,A15,GND
J1,A16,PCIE_RX0_P
J1,A17,PCIE_RX0_N
J1,A18,GND
J1,A2,P12V_SLOT
J1,A20,GND
J1,A21,PCIE_RX1_P
J1,A22,PCIE_RX1_N
J1,A23,GND
J1,A24,GND
J1,A25,PCIE_RX2_P
J1,A26,PCIE_RX2_N
J1,A27,GND
J1,A28,GND
J1,A29,PCIE_RX3_P
J1,A3,P12V_SLOT
J1,A30,PCIE_RX3_N
J1,A31,GND
J1,A4,GND
J1,B1,P12V_SLOT
J1,B11,PCIE_PEWAKE_N
J1,B12,PCIE_CLKREQ_N
J1,B13,GND
J1,B14,PCIE_TX0_P
J1,B15,PCIE_TX0_N
J1,B16,GND
J1,B18,GND
J1,B19,PCIE_TX1_P
J1,B2,P12V_SLOT
J1,B20,PCIE_TX1_N
J1,B21,GND
J1,B22,GND
J1,B23,PCIE_TX2_P
J1,B24,PCIE_TX2_N
J1,B25,GND
J1,B26,GND
J1,B27,PCIE_TX3_P
J1,B28,PCIE_TX3_N
J1,B29,GND
J1,B3,P12V_SLOT
J1,B31,PCIE_PRSNT_N
J1,B32,GND
J1,B4,GND
J1,B7,GND
J2,1,GND
J2,11,PCIE_TX3_N
J2,12,P3V3_NVME
J2,13,PCIE_TX3_P
J2,14,P3V3_NVME
J2,15,GND
J2,16,P3V3_NVME
J2,17,PCIE_RX2_N
J2,18,P3V3_NVME
J2,19,PCIE_RX2_P
J2,2,P3V3_NVME
J2,21,GND
J2,23,PCIE_TX2_N
J2,25,PCIE_TX2_P
J2,27,GND
J2,29,PCIE_RX1_N
J2,3,GND
J2,31,PCIE_RX1_P
J2,33,GND
J2,35,PCIE_TX1_N
J2,37,PCIE_TX1_P
J2,39,GND
J2,4,P3V3_NVME
J2,41,PCIE_RX0_N
J2,43,PCIE_RX0_P
J2,45,GND
J2,47,PCIE_TX0_N
J2,49,PCIE_TX0_P
J2,5,PCIE_RX3_N
J2,50,PCIE_PERST_N
J2,51,GND
J2,52,PCIE_CLKREQ_N
J2,53,PCIE_REFCLK_N
J2,54,PCIE_PEWAKE_N
J2,55,PCIE_REFCLK_P
J2,57,GND
J2,7,PCIE_RX3_P
J2,70,P3V3_NVME
J2,71,GND
J2,72,P3V3_NVME
J2,73,GND
J2,74,P3V3_NVME
J2,75,GND
J2,9,GND
J3,1,GND
J3,2,I2C_SCL
J3,3,I2C_SDA
J3,4,P3V3_SENSE_OUT
L1,1,SW_3V3
L1,2,P3V3_PRE_SENSE
Q1,1,PGOOD_3V3
Q1,2,GND
Q1,3,LED_PGOOD_CATHODE
R1,1,P12V_SLOT
R1,2,EFUSE_EN_UVLO
R10,1,P12V_PROTECTED
R10,2,BUCK_EN
R11,1,BUCK_EN
R11,2,GND
R12,1,P3V3_NVME
R12,2,BUCK_FB
R13,1,BUCK_FB
R13,2,GND
R14,1,P3V3_AUX
R14,2,PGOOD_3V3
R15,1,P3V3_AUX
R15,2,I2C_SCL
R16,1,P3V3_AUX
R16,2,I2C_SDA
R17,1,P3V3_AUX
R17,2,INA_ALERT_N
R18,1,P3V3_AUX
R18,2,TEMP_ALERT_N
R19,1,P3V3_AUX
R19,2,LED_PGOOD_ANODE
R2,1,EFUSE_EN_UVLO
R2,2,GND
R3,1,EFUSE_OVCSEL
R3,2,GND
R4,1,P12V_PROTECTED
R4,2,EFUSE_PGTH
R5,1,EFUSE_PGTH
R5,2,GND
R6,1,EFUSE_ILM
R6,2,GND
R7,1,P3V3_AUX
R7,2,PGOOD_12V
R8,1,BUCK_FSEL
R8,2,GND
R9,1,BUCK_MODE
R9,2,GND
RISO1,1,P3V3_SENSE_PROTECTED
RISO1,2,P3V3_SENSE_OUT
RSH1,E1,SHUNT_SENSE_P
RSH1,E2,SHUNT_SENSE_N
RSH1,I1,P3V3_PRE_SENSE
RSH1,I2,P3V3_NVME
TP1,1,P12V_SLOT
