Artifact,Path,Size_Bytes,SHA256,Source_Path,Source_SHA256,Status,Stage_State,Notes
Stage2_Capture_OPJ,schematic/orcad/stage2/native_25_1/pcie_gen3_x4_nvme_adapter_reva_stage2_electrical.opj,5057,2F76DDAEEDFBBA993F9CDFF3B3268E6C7245A241ABFC2F1A5276EE41ABD83463,,,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Native OrCAD Capture 25.1 project container
Stage2_Capture_DSN,schematic/orcad/stage2/native_25_1/PCIE_GEN3_X4_NVME_ADAPTER_REVA_STAGE2_ELECTRICAL.dsn,177664,64261FAF970518F368E9EF253A3A45221CCB31A39DCB3D761A88AD4A55D0320C,,,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Native seven-page Capture electrical design with 61 instances
Capture_DBO_Probe_Log,evidence/stage2/batch/capture_dbo_probe.log,250,77BBA82FFDBF39CF35B458EF22DCEC3C31FC78B1DF0CF8A343B82F46A46923BA,,,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Standalone Capture DBO availability probe
Capture_DRC_API_Probe_Log,evidence/stage2/batch/capture_drc_api_probe.log,680,6D4E64C76A42FFCC56CF624245416B47E4F9E03CFF34624DFC3E6F3FF083E3B8,,,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Standalone DBO shell does not expose a runnable Capture DRC command
Capture_Page_Audit,schematic/orcad/stage2/reports/capture_electrical_reopen_audit.csv,312,F079953450E2B762DA1BF4EAA5BD34B77B95092CBD34F46D7CF7C43B11918A69,schematic/orcad/stage2/native_25_1/PCIE_GEN3_X4_NVME_ADAPTER_REVA_STAGE2_ELECTRICAL.dsn,64261FAF970518F368E9EF253A3A45221CCB31A39DCB3D761A88AD4A55D0320C,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Native DSN seven-page and instance-count reopen audit
Capture_Page_Audit_Log,evidence/stage2/batch/stage2_capture_current_iscf.log,531,0073F45925E9D9C3B3EA479716B8FB006190B20ADB3C8F4F22CBE1CD06DDEE98,,,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Capture batch export and connectivity audit log
Capture_Annotation_Report,schematic/orcad/stage2/reports/annotation_report.txt,553,DB815B43701DB2E90B249F2F051DF6324FEAF1192322C12AAB0EB025F09B4684,,,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,61-reference unique annotation audit
Capture_ERC_Report,schematic/orcad/stage2/reports/erc_report.txt,1033,F6EBE402CB39A1CB115414544D4AE5A55EF60938BB81B2114DE9309ABBBFE0D3,,,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Native GUI ERC summary plus DBO and ISCF connectivity results
Capture_Native_DRC_Output,schematic/orcad/stage2/native_25_1/PCIE_GEN3_X4_NVME_ADAPTER_REVA_STAGE2_ELECTRICAL.DRC,1384,D0043343B76331BD9B987E3013F9A86B03B905B07D3A7DA215F26813708F8814,schematic/orcad/stage2/native_25_1/PCIE_GEN3_X4_NVME_ADAPTER_REVA_STAGE2_ELECTRICAL.dsn,64261FAF970518F368E9EF253A3A45221CCB31A39DCB3D761A88AD4A55D0320C,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,OrCAD Capture 25.1 S040 native GUI ERC output with zero error/warning records
Capture_Post_ERC_Reopen_Log,evidence/stage2/batch/capture_electrical_post_erc_reopen.log,532,12B0FD5C239FA065781A7B13D6E56969AF8FC9BF7A74C82D5D277B33AF1E608C,schematic/orcad/stage2/native_25_1/PCIE_GEN3_X4_NVME_ADAPTER_REVA_STAGE2_ELECTRICAL.dsn,64261FAF970518F368E9EF253A3A45221CCB31A39DCB3D761A88AD4A55D0320C,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Post-ERC DBO reopen confirms seven pages and 61 part instances
Capture_Netlist_Manifest,schematic/orcad/stage2/reports/netlist_manifest.csv,1816,8A9B06C46B6DF2AC77EC7B0D275C5E0F7E02E56505E1670600C013864B0C10F2,,,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,"Hash-locked Allegro pstchip, pstxprt and pstxnet outputs"
PSpice_CLI_Circuit,evidence/stage2/batch/work/pspice_probe/pspice_probe.cir,116,F88A3A73904596E97F03D3F6344F706C6CF5C9012E91348447B9B0207D66ED8B,,,Simulated,Stage 2 - Placed / Unrouted / Digital Mechanical Review,PSpice command-line solver smoke-test input
PSpice_CLI_Output,evidence/stage2/batch/work/pspice_probe/pspice_probe.out,1603,FA5FF1DBE1383F6239A771A6616604A73D04904229B3D1B47E63B78BAAC49044,evidence/stage2/batch/work/pspice_probe/pspice_probe.cir,F88A3A73904596E97F03D3F6344F706C6CF5C9012E91348447B9B0207D66ED8B,Simulated,Stage 2 - Placed / Unrouted / Digital Mechanical Review,PSpice 25.1 concluded smoke-test output
PSpice_CLI_Log,evidence/stage2/batch/pspice_probe.log,624,19E648E3595DB5ED159BCE0A04E1D207A77D11F08B794C23494BFAEC77B90B13,evidence/stage2/batch/work/pspice_probe/pspice_probe.cir,F88A3A73904596E97F03D3F6344F706C6CF5C9012E91348447B9B0207D66ED8B,Simulated,Stage 2 - Placed / Unrouted / Digital Mechanical Review,PSpice command-line process log
TPS543620_820us_Input,pspice/stage2/st02_buck_startup_820us.cir,726,5A8AAFCD986834AA7973622767D6C51095A80A21192B8591040F44B5D361710F,,,Simulated,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Official TI macro-model startup input through 820 us
TPS543620_820us_Output,pspice/stage2/st02_buck_startup_820us.out,3623,E812D385385053EF28C570BB4AB903C73A8A8199038223056A5BCE65185D38E6,pspice/stage2/st02_buck_startup_820us.cir,5A8AAFCD986834AA7973622767D6C51095A80A21192B8591040F44B5D361710F,Simulated,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Concluded official TI macro-model output
TPS543620_820us_CSDF,pspice/stage2/st02_buck_startup_820us.csd,59777739,5717F3930585611E06916705B8D79860798029E2AC4135FE0C45F6B8F1434BA5,pspice/stage2/st02_buck_startup_820us.cir,5A8AAFCD986834AA7973622767D6C51095A80A21192B8591040F44B5D361710F,Simulated,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Raw official TI macro-model CSDF waveform
TPS543620_820us_Metrics,evidence/stage2/pspice/st02_vendor_820us_run/st02_vendor_csdf_metrics.csv,1064,5EC5EB802900CE3FF6D5540631C0FF9085D6A0C84413663DA22A86F6753F5823,pspice/stage2/st02_buck_startup_820us.csd,5717F3930585611E06916705B8D79860798029E2AC4135FE0C45F6B8F1434BA5,Simulated,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Streaming CSDF metric extraction
