Artifact,Path,Size_Bytes,SHA256,Status,Notes
Stage1_Native_Board,pcb/allegro/pcie_gen3_x4_nvme_adapter_reva.brd,264772,7044316E18A0685F9641F8D9FBD4E5D3CB83E620B84F0104B328091C287B0BAF,Confirmed_Official,Immutable Stage 1 native mechanical database
Stage1_Preliminary_STEP,manufacturing/mcad/pcie_gen3_x4_nvme_adapter_reva_preliminary.step,551823,2102FE9E03948F4C3C1567F8C5206CD109AB0A2052FEAF79E85BCAEAB66454F5,Confirmed_Official,Immutable Stage 1 neutral MCAD export
Stage1_Artifact_Manifest,evidence/3d/artifact_manifest.csv,9876,65240FABB7A0E7161BFCB255197ED6AE8F8A0987BB6A1BAB421047D1BAE49AE7,Confirmed_Official,Hash-locked Stage 1 evidence index after native DRA hash reconciliation
WD_SN750_Product_Brief,evidence/official_sources/WD_BLACK_SN750_Product_Brief_en_us.pdf,547989,8852578D4BB9B0107F27810EC067B8B5C6B78250453540B6F09315751BC4CC03,Confirmed_Official,Official SanDisk-hosted Western Digital product brief A06 September 2021; PDF magic and required tokens verified
Lenovo_21E6_PSREF,evidence/official_sources/Lenovo_ThinkPad_E15_Gen4_Intel_PSREF.pdf,2364793,71BA9DCD5C0625EE9C17B53EE2D9EF0C6ADA53ABB1AFFB66875013185BE69C9C,Confirmed_Official,Official platform storage form-factor evidence
Amphenol_MDT420M01501_Drawing_RevA,evidence/official_sources/Amphenol_MDT420M01501_Controlled_Drawing_RevA.pdf,672010,53319C6F88C261445C294383F884524B50791ECEE759F8B63848D76522A823D4,Confirmed_Official,Official four-page CMDT420X01501 Rev A released drawing dated 2021-11-19; PDF magic and all pages visually verified
Amphenol_PCIe_M2_Gen5_Datasheet,evidence/official_sources/Amphenol_PCIe_M2_Gen5_Datasheet.pdf,509674,E303EAD10F8BFA1A02F4DC243E6F674EDE09F7BA2028AEE1D532265900167F59,Confirmed_Official,Official Amphenol family datasheet confirming 67 contacts and MDT420M0X501 4.2 mm Key M family
JLCPCB_6L_1p6mm_Calculator_Evidence,evidence/official_sources/JLCPCB_Impedance_Calculator_6L_1p6mm_2026-07-24.png,185564,3A8C22ABA577F92825F0BAF256E7475687C8078D250FD4184D93518F1EA5ED4E,Pending_Fabricator_Confirmation,Current official calculator input evidence only; no valid geometry result was produced and no stack-up freeze is claimed
Amphenol_MDT420M01501_STEP_ZIP,evidence/official_sources/smdt420m01501_c3d.zip,310649,78CD1FAE909F401D6A766CB7FD41F5F7E58A9918A6769BF04B0CAFFBFF7F9228,Confirmed_Official,Exact official product-page archive containing only mdt420m01501_c3d.stp
Amphenol_MDT420M01501_STEP,pcb/3d_models/amphenol_mdt420m01501_vendor-c3d-rev-unstated_2026-07-24.stp,2219066,F5427DE4C21FD8C98D0425E09D63247DC632733ACE2211E52F6E282C68F593CD,Confirmed_Official,Extracted vendor AP214 millimetre STEP with embedded FILE_NAME MDT420M_ASSY; model revision is not stated
